GEO_ID,NAME,S2501_C01_001E,S2501_C01_002EA,S2501_C01_003M,S2501_C01_004MA,S2501_C01_005EA
Geography,Zip code,Total estimate of occupied housing unit,One person,Two people,Three people,Four People
8600000US01610,ZCTA5 01610,8114,3256,2086,1397,1375
8600000US01611,ZCTA5 01611,877,202,283,131,261
8600000US01612,ZCTA5 01612,1558,295,615,237,411
8600000US01701,ZCTA5 01701,12587,2875,4940,2358,2414
8600000US01702,ZCTA5 01702,15244,5332,4208,2449,3255
8600000US01718,ZCTA5 01718,240,13,82,43,102
8600000US01719,ZCTA5 01719,2288,688,745,343,512
8600000US01720,ZCTA5 01720,8476,1786,2672,1736,2282
8600000US01721,ZCTA5 01721,6689,1424,2457,1194,1614
8600000US01730,ZCTA5 01730,5240,1225,1698,938,1379
8600000US01731,ZCTA5 01731,540,17,97,155,271
8600000US01740,ZCTA5 01740,1686,246,480,347,613
8600000US01741,ZCTA5 01741,1773,246,708,190,629
8600000US01742,ZCTA5 01742,6741,1541,2601,759,1840
8600000US01745,ZCTA5 01745,157,17,61,26,53
8600000US01746,ZCTA5 01746,5171,961,1676,1011,1523
8600000US01747,ZCTA5 01747,2232,668,579,397,588
8600000US01748,ZCTA5 01748,5614,758,1859,1002,1995
8600000US01749,ZCTA5 01749,7708,1915,2650,1468,1675
8600000US01752,ZCTA5 01752,15529,4362,4801,2772,3594
8600000US01754,ZCTA5 01754,4274,1205,1473,546,1050
8600000US01756,ZCTA5 01756,2064,290,785,278,711
8600000US01757,ZCTA5 01757,11086,3111,3408,2064,2503
8600000US01760,ZCTA5 01760,14157,4121,4289,2277,3470
8600000US01770,ZCTA5 01770,1480,182,469,323,506
8600000US01772,ZCTA5 01772,3246,646,838,634,1128
8600000US01773,ZCTA5 01773,2008,528,767,305,408
8600000US01775,ZCTA5 01775,2627,493,917,468,749
8600000US01776,ZCTA5 01776,6226,699,2183,1072,2272
8600000US01778,ZCTA5 01778,5044,1041,1582,946,1475
8600000US01801,ZCTA5 01801,15650,4203,5265,2639,3543
8600000US01803,ZCTA5 01803,9572,2169,3131,1662,2610
8600000US01810,ZCTA5 01810,12369,2726,3673,2244,3726
8600000US01821,ZCTA5 01821,11211,1848,3886,2048,3429
8600000US01824,ZCTA5 01824,9805,2262,3115,2058,2370
8600000US01826,ZCTA5 01826,11185,2587,3610,2108,2880
8600000US01827,ZCTA5 01827,1138,194,384,168,392
8600000US01830,ZCTA5 01830,10148,2877,3095,1775,2401
8600000US01832,ZCTA5 01832,8825,2449,2554,1753,2069
8600000US01833,ZCTA5 01833,3265,634,1159,676,796
8600000US01834,ZCTA5 01834,2339,549,622,308,860
8600000US01835,ZCTA5 01835,5182,1407,1670,993,1112
8600000US01840,ZCTA5 01840,2215,912,624,230,449
8600000US01841,ZCTA5 01841,14854,2836,3445,3224,5349
8600000US01843,ZCTA5 01843,8732,2087,2470,1376,2799
8600000US01844,ZCTA5 01844,17671,3943,5433,3379,4916
8600000US01845,ZCTA5 01845,11136,2601,3668,2169,2698
8600000US01850,ZCTA5 01850,5421,1028,1451,1331,1611
8600000US01851,ZCTA5 01851,10203,2387,2989,2054,2773
8600000US01852,ZCTA5 01852,13830,4933,3890,2063,2944
8600000US01854,ZCTA5 01854,9542,2973,2613,1457,2499
8600000US01860,ZCTA5 01860,2683,659,946,488,590
8600000US01862,ZCTA5 01862,3417,832,840,795,950
8600000US01863,ZCTA5 01863,3888,1357,1154,537,840
8600000US01864,ZCTA5 01864,5422,1008,1754,998,1662
8600000US01867,ZCTA5 01867,9063,1899,2875,1616,2673
8600000US01876,ZCTA5 01876,11413,2957,3710,1899,2847
8600000US01879,ZCTA5 01879,4378,876,1232,953,1317
8600000US01880,ZCTA5 01880,10335,2584,3703,1839,2209
8600000US01886,ZCTA5 01886,8244,1178,2559,1604,2903
8600000US01887,ZCTA5 01887,7947,1279,2347,1827,2494
8600000US01890,ZCTA5 01890,7928,1643,2312,1324,2649
8600000US01901,ZCTA5 01901,916,537,173,103,103
8600000US01902,ZCTA5 01902,17154,5635,3777,3125,4617
